Book Name,Author,Rating,User Rates,Price
"User Friendly: How the Hidden Rules of Design Are Changing the Way We Live, Work, and Play",Cliff Kuang,4.6,245,512.21
London Underground By Design,Mark Ovenden,4.7,98,128.68
Black Holes: The Reith Lectures,Stephen Hawking,4.5,2474,112.91
Boundary Element Methods in Manufacturing: 47,Abhijit Chandra,1.0,1,681.52
Cycle World: The Total Motorcycling Manual,Mark Lindemann,4.3,92,156.68
Basic Blockchain: What It Is and How It Will Transform the Way We Work and Live,David Shrier,4.3,9,162.77
Wellness Coaching for Lasting Lifestyle Change - 2nd Edition,Michael Arloski,4.7,222,445.61
Sanal Pilot,Cevdet Acarsoy,3.3,4,52.61
"Contemporary Engineering Economics, Global Edition",Chan Park,4.0,13,220.5
Porsche: All the Cars,Lorenzo Ardizio,4.7,12,504.07
"Digital Fundamentals, Global Edition",Thomas L Floyd,4.4,27,335.71
Project Management Demystified,Geoff Reiss,4.6,6,850.72
Software Defined Radio using MATLAB & Simulink and the RTL-SDR,Robert W Stewart,4.5,28,925.9
Money: Vintage Minis,Yuval Noah Harari,4.4,147,54.1
Advantage Play: Technologies that Changed Sporting History,Steve Haake,4.7,9,117.15
Altıncı Koğuş: Modern Klasikler Dizisi - 102,Anton Pavloviç Çehov,4.9,1059,3.85
Mutlu Olma Sanatı,Arthur Schopenhauer,4.7,434,5.88
Bir İdam Mahkumunun Son Günü: Hasan Ali Yücel Klasikleri,Victor Hugo,4.9,1211,5.99
Kızıl Veba,Jack London,4.9,231,6.24
Gece Yarısı Kütüphanesi,Matt Haig,4.6,199,28.33
Atomik Alışkanlıklar,James Clear,4.8,251,32.31
"Ben, Kirke",Madeline Miller,4.7,606,20.94
Körlük: 1998 Nobel Edebiyat Ödülü,Jose Saramago,4.7,661,25.76
Dönüşüm: Modern Klasikler Serisi,Franz Kafka,4.8,650,3.9
Ezbere Yaşayanlar,Emrah Safa Gürkan,5.0,3,30.17
Cesur Yeni Dünya,Aldous Huxley,4.6,419,16.55
Olağanüstü Bir Gece: Modern Klasikler Serisi,Stefan Zweig,4.8,530,4.4
Kürk Mantolu Madonna - Bütün Yapıtları,SABAHATTİN ALİ,4.8,898,3.75
Mecburiyet: Modern Klasikler Dizisi - 104,Stefan Zweig,4.9,634,3.9
Satranç: Modern Klasikler Serisi,Stefan Zweig,4.9,593,4.95
Dune,Frank Herbert,4.6,467,34.81
Hayvan Çiftliği,George Orwell,4.9,1500,8.49
Martin Eden: Modern Klasikler Serisi,Jack London,4.8,508,14.99
1984,George Orwell,4.8,1052,14.9
Şeker Portakalı,Jose Mauro De Vasconcelos,4.8,1039,16.73
İnsanın Anlam Arayışı: Man's Search for Maning: Man's Search for Maning,Viktor Emil Frankl,4.8,249,25.9
İnsan Neyle Yaşar?,Lev Nikolayeviç Tolstoy,4.9,841,6.59
Dune Mesihi,Frank Herbert,4.5,139,26.72
Nasıl Ölünür: Dünya Klasikleri / 10,Emile Zola,4.7,288,7.9
Hamlet,William Shakespeare,4.9,317,7.9
Tiamat,İhsan Oktay Anar,4.5,2,35.0
Akhilleus’un Şarkısı,Madeline Miller,4.8,274,24.99
Fahrenheit 451,Ray Bradbury,4.7,1000,15.78
Aylak Adam,Yusuf Atılgan,4.6,239,12.37
Dune Çocukları,Frank Herbert,4.5,95,36.48
Bir Çöküşün Öyküsü: Modern Klasikler Serisi,Stefan Zweig,4.9,310,4.4
Görmek: 1998 Nobel Edebiyat Ödülü,Jose Saramago,4.8,231,24.98
"Monte Cristo Kontu-2 Kitap Takım, Hasan Ali Yücel Klasikler",Alexandre Dumas,4.7,391,34.97
Cadının Yüreği,Genevieve Gornichec,5.0,8,22.08
Devlet: Hasan Ali Yücel Klasikleri,Platon,4.9,377,10.9
Karamazov Kardeşler,Fyodor Mihayloviç Dostoyevski,4.7,368,21.9
Zaman Makinesi: Modern Klasikler Dizisi - 107 Bir Buluş,H. G. Wells,4.9,409,9.09
VAR MISIN? Güçlü Bir Yaşam İçin Öneriler,Doğan Cüceloğlu,4.8,625,26.9
İvan İlyiç'in Ölümü,Lev Nikolayeviç Tolstoy,4.8,200,6.9
İki Şehrin Hikayesi,Charles Dickens,4.8,142,18.73
Babalar ve Oğullar,İvan Sergeyeviç Turgenyev,4.9,202,8.74
Bilinmeyen Bir Kadının Mektubu: Modern Klasikler Serisi,Stefan Zweig,4.9,404,4.95
Oblomov,İvan Aleksandroviç Gonçarov,4.8,312,18.73
Eğlenceli Bilim – Gündüz ve Gece,Imke Rudel,4.8,133,6.9
Kırmızı Pazartesi: İşleneceğini Herkesin Bildiği Bir Cinayetin Öyküsü,Gabriel Garcia Marquez,4.7,499,12.9
Dorian Gray’in Portresi: Hasan Ali Yücel Klasikler Dizisi,Oscar Wilde,4.8,169,12.9
Tembellik Hakkı,Paul Lafargue,4.7,200,7.77
Düşünce ve Tartışma Özgürlüğü Üstüne,John Stuart Mill,4.7,153,6.72
Zacharius Usta: Modern Klasikler Dizi 110,Jules Verne,4.8,850,4.9
Şeytanın Çırağı: Akuma no deshi,Şiro Hamao,5.0,2,10.79
"Sokrates’in Savunması: Euthyphron, Apologia, Kriton, Phaidon - Hasan Ali Yücel Klasikler Dizisi",Platon,4.9,498,9.9
Harry Potter ve Felsefe Taşı: 1.Kitap,JOANNE KATHLEEN ROWLING,4.8,361,18.59
Amok Koşucusu: Modern Klasikler Serisi,Stefan Zweig,4.9,452,4.9
Macbeth,William Shakespeare,4.8,119,7.49
Ay’ı Kim Çaldı?,HELEN STRATTON,4.8,362,8.63
Yeşil Bambu ve Diğer Fantastik Öyküler,Osamu Dazai,5.0,3,14.15
Emile,Jean Jacques Rousseau,4.9,17,9.09
"Şehirde Bir Gün: Bul, Eğlen, Öğren!",Olivia Brookes,4.8,130,8.74
"Balıkçı ve Oğlu: ""Keşke İnsanlar da Yunuslar Kadar İyi Olsaydı""",Zülfü Livaneli,4.6,77,18.48
Biz,Yevgeni Zamyatin,4.7,58,16.03
"Dinozorlar Dünyasında Bir Yıl: Bul, eğlen, öğren!",Olivia Brookes,4.8,120,8.74
Benjamin Button’ın Tuhaf Hikayesi,Francis Scott Key Fitzgerald,4.8,143,5.9
Eğlenceli Bilim – Mevsimler,Imke Rudel,4.8,139,6.9
Sırça Köşk: Bütün Yapıtları,SABAHATTİN ALİ,4.8,177,4.0
Jane Eyre,Charlotte Bronte,4.7,130,15.89
Outliers - Çizginin Dışındakiler: Bazı İnsanlar Neden Daha Başarılı Olur?,Malcolm Gladwell,4.6,229,33.9
Zincire Vurulmuş Prometheus: Hasan Ali Yücel Klasikler Dizisi,Aiskhylos,4.9,92,5.62
Serenad,Zülfü Livaneli,4.7,353,29.96
Utopia,Thomas More,4.9,130,8.9
İyi Aile Yoktur,Nihan Kaya,4.7,109,24.13
Nietzsche Ağladığında,Irvin D. Yalom,4.8,136,39.96
Harry Potter ve Sırlar Odası: 2. Kitap,JOANNE KATHLEEN ROWLING,4.8,278,21.34
Büyük Macera,Elina Ellis,4.8,160,9.9
Bunu Herkes Bilir: Tarihteki Yanlış Sorulara Doğru Cevaplar,Emrah Safa Gürkan,4.8,233,23.9
İyi Yürekli Dev Memo,Julia Donaldson,4.9,140,9.9
Verity: Gerçeğin Diğer Kıyısı,Colleen Hoover,5.0,1,32.67
Komünist Manifesto,Karl Marx,4.8,127,8.9
Odysseia,Homeros,5.0,184,21.86
Eylül: Günümüz Türkçesiyle,Mehmet Rauf,4.9,26,9.9
Vadideki Zambak: Hasan Ali Yücel Klasikler Dizisi,Honore de Balzac,4.7,115,11.9
Hobbit,J.R.R. Tolkien,4.7,291,26.97
Abartma Tozu (Ciltli),Şermin Yaşar,4.8,142,27.87
Bir Ömür Nasıl Yaşanır?: Hayatta Doğru Seçimler İçin Öneriler,İlber Ortaylı,4.7,791,27.6
It Ends With Us,Colleen Hoover,4.7,16197,82.75
Zaman Bisikleti: Zaman Bisikleti 1,Bilgin Adalı,4.9,53,13.9
"Havalimanında Bir Gün: Bul, Eğlen, Öğren!",Olivia Brookes,4.9,124,7.9
Kolay Piyano 1: (Spiralli),Sevinç Ereren,4.6,52,47.35
Dakikalar İçinde Mitoloji,Neil Philip,5.0,1,24.98
Ateş Yakmak: Modern Klasikler Serisi,Jack London,4.8,203,5.0
Davetsiz Misafirler,Stephanie Moss,4.9,42,9.9
Toplum Sözleşmesi,Jean Jacques Rousseau,4.8,196,8.9
Akıllı Yatırımcı: Warren Buffett’ın önsözü ve sonsözüyle - Jason Zweig’in güncel yorumlarıyla zenginleştirilmiş yeni baskı,Benjamin Graham,4.7,237,61.9
Dune Tanrı İmparatoru,Frank Herbert,4.6,66,45.53
İlyada: Hasan Ali Yücel Klasikler Dizisi,Azra Erhat,4.8,206,26.22
DEATH NOTE ÖLÜM DEFTERİ 7,Tsugumi Ooba,4.9,46,19.58
Huzursuzluk,Zülfü Livaneli,4.8,247,15.28
Kendime Düşünceler: Hasan Ali Yücel Klasikler Dizisi,Marcus Aurelius,4.8,182,8.9
Şair Evlenmesi-Türk Edebiyatı Klasikleri 5: Günümüz Türkçesiyle,Şinasi,4.8,94,3.75
Cehenneme Övgü: Gündelik Hayatta Totalitarizm,Gündüz Vassaf,4.8,57,33.47
Seksen Günde Dünya Turu: İş Çocuk Klasikleri Kısaltılmış Metin,Jules Verne,4.9,77,4.69
Mutlu Prens: Modern Klasikler Dizisi - 96,Oscar Wilde,4.8,79,6.24
Sergüzeşt (Günümüz Türkçesiyle): Türk Edebiyatı Klasikleri - 21,Samipaşazade Sezai,4.8,41,6.24
Doğu Ekspresinde Cinayet,Agatha Christie,4.8,99,24.9
Anna Karenina,Lev Nikolayeviç Tolstoy,4.8,527,28.1
Vanya Dayı: Modern Klasikler Serisi,Anton Pavloviç Çehov,4.9,54,5.62
Delifişek,Jose Mauro De Vasconcelos,4.8,176,9.41
Robinson Crusoe (Kısaltılmış Metin): İş Çocuk Klasikleri 100 Temel Eser,Daniel Defoe,4.8,60,4.69
İlk Keşifler - Harika Böcekler (Ciltli),Kolektif,5.0,32,23.38
Evelyn Hugo'nun Yedi Kocası,Taylor Jenkins Reid,4.7,57,45.95
All You Need Is Kill - Öldür Yeter 1,Hiroşi Sakurazaka,4.8,72,15.9
Robinson Crusoe,Daniel Defoe,4.2,222,12.9
Kahramanın Sonsuz Yolculuğu,Joseph Campbell,4.6,33,37.46
İyinin ve Kötünün Ötesinde: Hasan Ali Yücel Klasikler Dizisi,Friedrich Wilhelm Nietzsche,4.9,62,11.9
Eğlenceli Bilim – Su Altı,Monika Wittmann,4.8,89,6.9
DEMİR ÖKÇE K.KAPAK: Modern Klasikler Serisi,Jack London,4.8,81,12.72
Dune Sapkınları,Frank Herbert,4.5,50,54.95
Ay'a Yolculuk: Modern Klasikler Dizisi - 72,Jules Verne,4.9,225,8.9
İçimizdeki Şeytan: Türk Edebiyatı Klasikleri 31,Sabahattin Ali,4.8,140,7.49
Beyaz Zambaklar Ülkesinde,Grigori Spiridonoviç Petrov,4.7,33,7.9
İlk Boyama Kitabım - Hayvanat Bahçesi: Çıkartmalı,Kolektif,4.7,48,10.55
Lyon'da Düğün: Modern Klasikler Serisi,Stefan Zweig,4.9,170,4.38
EV SAHİBESİ,Fyodor Mihayloviç Dostoyevski,4.8,38,8.9
Kendine Güvenen Fil,Louison Nielman,4.9,29,25.9
Beş Sevim Apartmanı / Rüya Tabirli Cinperi Yalanları,OLCAY MİNE SÖĞÜT BARUTER,4.6,13,11.42
Son Ada,Zülfü Livaneli,4.8,182,19.88
İlk Keşifler - Kar Hayvanları (Ciltli),Kolektif,4.6,34,21.9
All You Need Is Kill: Öldür Yeter - 2,Hiroşi Sakurazaka,4.8,66,18.18
DEATH NOTE ÖLÜM DEFTERİ 2,Tsugumi Ooba,4.9,73,15.9
Beyaz Geceler: Hasan Ali Yücel Klasikler Dizisi,Fyodor Mihayloviç Dostoyevski,4.8,188,10.9
"Tren İstasyonunda Bir Gün: Bul, eğlen, öğren!",Olivia Brookes,4.8,170,7.9
Mutlu Yaşam Üzerine – Yaşamın Kısalığı Üzerine,Lucius Annaeus Seneca,4.7,88,6.9
Kızıl: Modern Klasikler Dizisi 116,Stefan Zweig,4.8,260,5.9
Bütün Şiirleri - Orhan Veli,Orhan Veli Kanık,4.9,95,7.18
Hastalık Hastası: Hasan Ali Yücel Klasikler Dizisi,Moliere,4.8,28,7.49
Değnek Adam,Julia Donaldson,4.6,54,9.87
Tutunamayanlar: Bütün Eserleri - 1,Oğuz Atay,4.7,359,46.64
Bioshock: Rapture Şehri,John Shirley,4.8,42,9.89
Everest Açıkhava 17 : Ağaç Diken Adam,Jean Giono,5.0,5,5.94
Babaannem Geri Döndü,Şermin Yaşar,5.0,25,31.9
Karabibik (Günümüz Türkçesiyle): Türk Edebiyatı Klasikleri - 49,Nabizade Nazım,4.2,12,4.38
Ay Bahçeleri - Malazan Yitikler Kitabı 1,Steven Erikson,4.0,5,53.44
Mürebbiye: Türk Edebiyat Klasikleri 2,Hüseyin Rahmi Gürpınar,4.8,54,6.24
Cimri: Hasan Ali Yücel Klasikler,Moliere,4.7,89,7.9
Peter Pan (Kısaltılmış Metin): İş Çocuk Klasikleri 100 Temel Eser,James Matthew Barrie,4.8,53,4.69
Ardından,Natsume Söseki,5.0,3,21.78
Diriliş,Lev Nikolayeviç Tolstoy,4.7,54,21.86
İncognito: Beynin Gizli Hayatı,David Eagleman,4.6,145,35.42
Göğe Bakma Durağı - Seçme Şiirler,TURGUT UYAR,4.7,66,8.99
Dava: Modern Klasikler Serisi,Franz Kafka,4.8,170,9.9
Felatun Bey İle Rakim Efendi: Günümüz Türkçesiyle,Ahmed Midhat Efendi,4.9,67,6.24
Yabancı,Albert Camus,4.7,37,16.9
Alice Harikalar Diyarında: Modern Klasikler Dizisi - 97,Lewis Carroll,4.9,221,7.49
İntibah - Günümüz Türkçesiyle: Türk Edebiyatı Klasikleri - 4,Namık Kemal,4.8,78,7.49
Sinekli Bakkal: Selim İleri'nin Sonsözüyle,Halide Edib Adıvar,4.6,29,39.9
Kara Keşiş: Modern Klasikler Dizisi - 155,Anton Pavloviç Çehov,4.8,94,5.62
Beyaz Zambaklar Ülkesinde: Atatürk'ün Okulların Müfredatına Konulmasını İstediği Kitap,Grigory Petrov,4.8,541,11.9
Seraph of the End - Kıyamet Meleği 4,Takaya Kagami,4.6,15,19.47
Bir Zanaatla Beklenmedik Karşılaşma,Stefan Zweig,4.7,52,4.9
Zeytindağı,Falih Rıfkı Atay,4.7,69,14.86
İletişim Donanımları: Keşke’siz Bir Yaşam İçin,Doğan Cüceloğlu,4.5,54,24.28
Efendi İle Uşağı: Bir Toprak Sahibinin Sabahı - Hasan Ali Yücel Klasikler Dizisi,Lev Nikolayeviç Tolstoy,4.9,29,7.9
Dedemin Bakkalı - Çırak: Dünyanın En Süper Marketi,Şermin Çarkacı,4.9,85,21.9
Geliştiren Anne-Baba: Anne-Baba Olarak Çocuğunuzun En Güçlü Tanığı Olduğunuzun Farkında mısınız?,Doğan Cüceloğlu,5.0,6,21.82
Babaya Mektup: Modern Klasikler Dizisi - 82,Franz Kafka,4.7,95,7.49
Masumiyet Müzesi,ORHAN PAMUK,4.6,140,41.4
Uçan Süpürge - İyi Yürekli Cadı ve 4 Kafadar Çıkartmalı Etkinlik Kitabı: 400'den Fazla Çıkartma: 400'den Fazla Çıkartma,Julia Donaldson,4.9,26,19.48
Ve Sonuda İkisi de Ölür,Adam Silvera,4.6,46,24.97
Dura Mater 3. Kitap,Serkan Karaismailoğlu,4.5,29,41.36
HÜKÜMDAR CİLTSİZ,Niccolo Machiavelli,4.9,69,9.09
Eğlenceli Bilim – Yer Altı,Frank Littek,4.8,71,6.9
Dünya'nın Ucundaki Fener - Modern Klasikler Dizisi,Jules Verne,4.9,11,10.9
Mai ve Siyah (Günümüz Türkçesiyle): Ahmet İhsan'ın Sunuşuyla,Halid Ziya Uşaklıgil,4.9,15,10.9
Bir Dinozorun Anıları,MİNA URGAN,4.9,22,25.17
DEATH NOTE ÖLÜM DEFTERİ 3,Tsugumi Ooba,4.8,79,19.47
Yayazulanın Çocuğu Çıkartmalı Etkinlik Kitabı: 400'den Fazla Çıkartma: 400'den Fazla Çıkartma,Julia Donaldson,4.9,23,17.9
Görünmez Adam: Kısaltılmış Metin,H. G. Wells,4.8,27,4.69
Germinal,Emile Zola,4.9,20,44.21
Şölen - Dostluk,Platon,4.9,29,7.9
Resimlerle İngilizce İlk 1000 Sözcük,Heather Amery,4.8,110,28.14
İrade Terbiyesi,Jules Payot,4.6,360,17.48
Gizli Tarih: Pulitzer Ödüllü Saka Kuşu'nun Yazarından,Donna Tartt,3.6,21,41.95
VAKIF: Vakıf Serisi,Isaac Asimov,4.8,87,29.06
Larousse İngilizce İlk 1000 Hayvan: Küçüklere Uygundur,Agnes Besson,4.8,8,15.9
Küçük Kara Balık,Samed Behrengi,4.9,115,6.9
Venedik Taciri: Hasan Ali Yücel Klasikler Dizisi,William Shakespeare,4.8,40,8.74
Kızıl Kahkaha - Bulunmuş Bir Elyazmasından Parçalar: Modern Klasikler Serisi,Leonid Andreyev,4.8,78,5.62
Yere Yakın Yıldızlara Uzak (Ciltsiz),Emine Tavuz,4.2,35,28.46
Karısını Şapka Sanan Adam,OLIVER SACKS,4.7,17,17.9
Yılanı Öldürseler,YAŞAR KEMAL,4.6,40,11.99
Clarissa: Modern Klasikler Dizisi - 88,Stefan Zweig,4.7,75,10.9
Bir Delinin Anı Defteri: Palto-Burun-Petersburg Öyküleri Ve Fayton,Nikolay Vasilyeviç Gogol,4.8,197,11.9
Seraph of the End - Kıyamet Meleği 2,Takaya Kagami,4.5,32,19.47
Gizli Bahçe,Frances Hodgson Burnett,4.9,46,11.69
Perşembe Günü Cinayet Kulübü,Richard Osman,4.6,3,37.36
Hayat İçin 12 Kural: Kaosa Panzehir,Jordan B. Peterson,4.4,13,41.95
Kafası Değişikler Atlası - Ciltli,Fatih Dikmen,4.9,79,60.9
Germinal,Emile Zola,4.9,52,20.9
Ölü Canlar,Nikolay Vasilyeviç Gogol,4.7,74,14.99
"Minik Ayı Denize Gidiyor!: Kimi Zaman En Keyifli Yolculuk, En Uzun Olandır!",Melanie Joyce,4.9,111,28.3
Yüzüklerin Efendisi: (1-2-3 Cilt) Yüzük Kardeşliği - İki Kule - Kralın Dönüşü,J.R.R. Tolkien,4.7,848,167.83
Dokuzuncu Hariciye Koğuşu: Bütün Romanları,Peyami Safa,4.9,191,22.99
Genç Kral,Oscar Wilde,4.7,149,4.9
Öğrenen Yavrular - Panda Huzurlu ve Mutlu,Louison Nielman,4.9,16,26.55
Bozkır – Bir Yolculuk Hikayesi: Modern Klasikler Serisi,Anton Pavloviç Çehov,4.8,63,6.24
Zamanın Kısa Tarihi: Güncellenmiş Baskıdan Yeni Çeviri,Stephen Hawking,4.8,230,24.9
İyilik,Alison Green,4.7,73,11.24
Küçük Kara Balık,Samed Behrengi,4.9,115,2.75
Yaban: Bütün Eserleri 1,Yakup Kadri Karaosmanoğlu,4.8,107,40.15
Karmaşık Duygular: Modern Klasikler Serisi,Stefan Zweig,4.8,86,9.37
Frankenstein ya da Modern Prometheus: Hasan Ali Yücel Klasikler Dizisi,Mary Shelley,4.7,61,10.9
KRAL OIDIPUS,Sophokles,4.9,69,7.9
Elmer,David Mckee,4.6,40,21.9
Hadi Gezelim - Sahilde Yaz: Ara-Bul Kitabı,Sue Tarsky,5.0,5,8.74
İLK BİLİM KÜTÜPHANEM OKYANUSLAR: İlk Bilim Kütüphanem - Resimli,Kolektif,4.7,18,7.9
Dünyalar Savaşı: Modern Klasikler Serisi,H. G. Wells,4.9,67,9.99
Vahşetin Çağrısı: Modern Klasikler Serisi,Jack London,4.7,103,8.74
İlk Okuma Kitabım - Elif'in Uykusu Gelmiyor,Liane Schneider,4.9,13,6.9
Savaş ve Barış - 2 Cilt,Lev Nikolayeviç Tolstoy,4.8,308,42.9
On İkinci Gece,William Shakespeare,4.9,35,6.87
Martı: Modern Klasikler Serisi,Anton Pavloviç Çehov,4.7,95,6.24
Everest Açıkhava 3 : Mikado’nun Çöpleri,Melih Cevdet Anday,4.6,11,6.18
Tao Te Ching: Hasan Ali Yücel Klasikler Dizisi,Laozi,4.8,25,6.24
Palto,Nikolay Vasilyeviç Gogol,4.9,49,6.9
"Kırlangıç Çığlığı: ""Vicdanını yitirmiş bir dünyadan başka nedir ki cehennem?""",Ahmet Ümit,4.7,85,17.9
Beş Küçük Domuz,Agatha Christie,4.8,20,18.9
İşaret Memuru,Charles Dickens,4.6,37,5.79
Venedik'te Ölüm: 1929 Nobel Edebiyat Ödülü,Thomas Mann,4.6,21,13.64
İlk Öyküler Rapunzel,İş Bankası Komisyon,4.6,36,23.38
Hadi Gezelim - Şehirde Kış: Ara-Bul Kitabı,Sue Tarsky,4.8,16,7.9
Mutluluğun Kazanılması: Hasan Ali Yücel Klasikler Dizisi,Farabi,4.8,157,6.24
İnce Memed 4,YAŞAR KEMAL,4.9,84,30.91
